871 873
224 97 -522
802 680 -245
62 807 437
265 1 795
366 750 -86
853 819 -228
304 250 60
489 437 718
207 284 -166
464 499 659
618 819 276
406 67 -74
461 338 -647
161 545 229
589 269 555
783 607 72
528 225 784
358 273 -388
181 97 840
194 840 158
25 742 77
144 473 691
297 767 -415
207 587 -756
328 113 230
337 233 535
198 191 -899
650 13 554
425 390 -443
835 102 -66
6 744 938
375 745 -267
709 212 -730
854 175 -882
684 720 -243
18 786 -429
128 118 -709
445 699 999
460 399 -839
116 405 -46
447 591 -974
519 741 -537
42 754 -99
218 229 54
572 473 709
733 261 257
388 55 -332
630 225 -82
654 495 -930
572 515 -121
837 697 553
573 424 58
18 255 586
472 678 221
519 858 -739
562 607 394
213 420 274
280 772 -104
281 198 -219
646 717 414
160 193 -123
565 405 -214
591 119 -829
750 602 -488
871 837 -583
294 535 201
248 279 293
584 266 715
344 813 -793
104 832 163
349 658 -714
347 575 -604
181 95 674
561 527 443
727 812 -389
717 66 -683
543 601 -452
113 749 -912
755 170 -526
415 394 -1000
707 685 880
311 654 146
215 34 95
22 806 208
259 717 -371
305 235 139
761 197 606
161 729 88
710 117 267
651 656 884
490 491 -875
601 316 -936
797 805 -271
429 200 779
305 539 -323
641 837 -265
539 381 372
370 325 118
529 199 705
258 585 -112
298 852 -376
487 495 447
328 552 -782
593 106 -384
89 332 146
384 236 937
763 449 -320
218 799 -915
227 73 838
447 459 -30
471 44 246
151 523 -482
15 693 29
119 83 509
646 392 877
541 445 144
706 175 957
425 699 874
708 589 -876
351 292 -653
672 310 -990
503 439 -497
322 204 -20
20 175 270
324 706 924
531 55 -798
536 668 529
857 698 921
567 55 22
200 462 160
435 12 -904
331 753 140
841 701 687
368 273 -444
841 463 257
263 398 -92
818 306 198
791 410 -193
674 630 695
801 692 944
140 278 -603
92 806 -107
459 104 26
601 146 81
860 452 321
104 223 -294
360 284 -864
769 252 308
24 588 446
359 403 156
295 778 -279
136 248 -932
249 436 767
489 137 684
28 398 669
682 361 -249
183 780 362
726 103 -147
185 267 179
366 267 195
459 11 -717
348 267 -490
668 197 765
487 774 992
523 533 -870
193 828 905
327 743 -771
361 367 -119
430 211 249
227 663 202
683 402 36
107 429 96
389 45 -892
426 3 -531
822 164 595
524 445 -628
147 4 -537
796 139 -786
703 748 775
536 582 104
487 150 -61
351 774 -96
227 212 -863
503 82 557
828 673 -678
161 324 545
464 441 537
702 247 -483
339 855 -96
829 89 -684
684 758 961
820 144 -820
343 307 -807
521 309 766
520 634 -965
834 193 994
592 186 -867
25 83 -603
622 1 -764
826 292 985
680 363 -363
130 431 -186
255 720 121
621 480 -534
677 44 -168
373 614 -103
