18
967 1786
707 603 263
79 162 811
885 461 365
30 691 814
163 303 696
367 828 549
30 441 862
231 169 664
562 699 38
650 180 753
702 805 626
881 475 922
943 895 129
862 136 735
566 193 8
37 582 362
398 351 223
771 690 728
697 830 3
874 514 985
586 694 873
850 943 643
520 56 417
875 372 529
418 103 357
326 61 511
836 402 373
929 91 556
518 383 62
677 194 848
691 725 442
228 615 741
847 110 708
689 247 334
735 826 684
556 123 287
210 245 102
180 167 216
336 235 237
65 184 703
673 68 587
622 788 224
480 308 517
152 217 743
722 641 645
583 279 821
505 858 299
553 92 591
241 373 175
823 535 640
60 249 522
941 318 364
964 675 629
832 723 212
365 630 741
66 438 951
231 414 734
382 594 322
722 706 965
673 916 31
967 42 428
260 153 644
761 165 712
525 162 270
592 88 936
607 110 166
343 204 938
888 790 725
156 274 105
153 104 481
688 719 257
39 897 5
506 39 95
791 396 859
451 519 162
720 309 169
117 691 544
819 708 933
692 915 372
209 374 636
277 111 601
173 256 296
538 287 74
935 445 31
215 657 398
205 190 588
699 290 137
867 929 981
926 376 450
847 710 660
93 504 86
523 427 383
22 655 23
411 639 959
228 292 480
610 500 672
470 520 646
470 385 803
262 253 156
475 619 332
845 498 766
919 682 818
899 947 837
103 712 983
790 967 246
460 724 78
450 117 159
784 696 865
896 218 893
76 268 431
144 555 829
17 451 476
523 614 427
220 746 297
200 247 92
920 737 232
684 313 915
641 801 167
920 453 665
501 725 840
896 348 934
603 126 844
163 110 585
624 545 946
608 229 532
491 117 909
768 751 920
112 477 721
315 222 218
491 880 581
592 182 772
327 169 852
685 182 910
431 322 479
766 345 602
133 913 178
897 941 815
955 759 300
382 950 875
627 531 92
331 365 97
341 247 943
379 729 682
279 757 228
322 259 202
523 164 165
338 68 550
621 647 58
734 196 738
458 36 296
562 596 24
672 152 646
411 193 231
404 157 249
868 680 728
426 537 232
872 199 241
633 48 70
243 298 553
864 203 898
875 814 965
779 550 849
811 445 380
883 850 503
565 552 61
621 965 120
258 400 517
724 919 148
36 65 206
908 464 314
9 942 593
779 64 303
393 547 439
299 241 577
638 230 756
181 602 496
916 909 331
942 300 979
186 306 635
9 477 50
249 98 155
280 623 627
179 114 236
109 180 987
812 237 955
5 692 884
769 863 153
549 262 413
518 141 948
359 683 50
822 503 605
910 14 177
587 194 626
443 787 422
31 387 899
766 224 604
170 204 23
815 268 994
603 712 797
738 597 558
454 577 288
294 323 770
107 310 671
707 696 77
907 878 612
120 479 286
444 391 537
263 302 181
462 290 833
859 361 292
273 269 319
455 20 487
124 656 738
750 331 15
938 95 477
622 572 120
80 597 557
554 176 738
587 440 520
879 762 578
528 862 202
555 390 249
646 373 880
824 787 357
425 50 860
721 938 785
328 423 162
292 586 205
785 900 946
435 301 305
442 106 695
731 368 421
19 211 453
409 330 714
467 350 928
262 412 496
577 454 768
505 790 119
371 891 291
13 809 964
221 482 580
341 642 882
137 734 673
86 744 101
854 337 147
788 244 783
525 556 624
813 891 553
100 735 159
232 467 258
486 644 243
377 867 67
192 599 13
308 621 290
707 652 657
646 604 755
41 948 539
538 415 821
691 482 304
531 607 248
575 456 893
295 799 558
249 654 248
128 798 43
501 374 751
823 915 575
317 777 615
35 833 200
132 612 825
130 356 731
433 27 639
910 631 209
295 806 398
595 475 789
216 15 319
760 811 699
621 619 883
731 601 417
127 365 946
31 940 402
115 833 7
322 73 301
778 171 525
416 728 29
398 355 930
304 24 710
428 954 738
584 591 552
583 723 442
403 422 968
738 544 780
347 316 394
610 496 913
515 222 301
571 254 653
204 865 106
217 951 159
409 295 707
419 526 17
140 805 773
400 135 202
913 239 344
87 397 829
108 529 764
88 254 456
560 169 284
488 955 425
454 24 201
484 960 972
637 554 595
711 930 486
147 550 92
269 140 739
336 733 955
163 894 28
884 213 528
367 419 310
125 281 31
246 63 693
758 144 501
2 76 411
912 812 733
441 483 137
664 669 61
469 18 187
843 451 799
82 441 964
213 778 700
441 711 25
469 948 749
790 315 372
774 727 581
666 683 294
761 343 17
688 691 212
33 424 436
595 692 471
691 714 725
900 606 767
3 670 256
396 290 568
22 163 718
10 351 418
762 629 520
95 2 990
767 425 964
651 370 892
41 907 410
259 191 41
825 65 119
966 404 615
735 176 805
354 736 66
542 906 826
791 838 100
225 46 494
504 288 298
665 87 874
312 840 407
796 914 16
418 316 113
256 391 775
104 678 596
289 830 621
543 705 835
632 475 310
63 148 456
930 521 546
154 749 24
412 857 893
948 222 678
655 33 858
344 662 159
832 105 577
517 721 782
125 520 644
300 598 953
155 793 410
52 398 900
456 44 76
946 418 157
117 39 436
431 126 280
885 144 550
712 148 356
940 53 694
630 415 165
76 905 981
687 291 214
399 738 82
576 339 247
562 382 449
198 703 574
111 306 266
447 547 884
311 447 580
542 78 153
587 76 497
382 326 895
3 821 977
500 852 188
835 414 335
939 963 449
482 142 290
579 138 611
623 963 53
101 517 723
421 304 974
466 322 538
920 324 165
640 510 865
261 599 902
635 140 858
667 307 209
464 939 525
709 398 366
592 436 933
113 583 829
516 551 47
312 745 668
643 357 610
888 676 672
309 46 397
354 357 79
323 797 65
772 834 20
451 440 970
12 90 961
7 362 713
521 496 884
12 918 602
174 768 366
574 201 49
598 211 648
409 212 958
132 338 542
118 957 755
773 13 970
503 72 688
288 377 189
805 128 687
955 561 112
311 53 873
460 447 481
870 22 218
917 667 630
243 745 675
893 201 197
612 147 465
447 748 310
231 744 625
558 71 387
701 402 802
621 326 923
583 405 706
9 109 79
229 897 511
904 79 369
304 790 477
409 947 612
956 280 49
621 873 517
166 257 160
237 589 405
398 735 617
901 695 703
246 280 23
25 89 640
627 760 742
93 398 690
66 774 293
791 948 184
650 188 766
377 580 218
583 415 989
398 20 698
745 502 957
493 582 501
471 141 868
280 134 210
392 601 77
458 385 31
234 648 376
223 368 848
406 928 558
861 417 302
572 334 859
567 582 423
181 201 201
667 666 448
453 557 695
387 37 444
702 156 316
95 53 407
390 49 814
857 308 461
512 249 181
100 427 68
575 891 868
323 81 799
720 946 103
345 241 528
776 138 218
127 379 563
408 338 779
537 759 972
411 194 92
182 837 103
470 119 608
609 458 138
73 732 79
410 437 527
476 688 854
907 100 69
388 935 373
4 830 951
441 458 989
961 339 63
693 259 184
67 256 642
601 616 953
76 722 418
80 110 200
100 113 410
956 354 942
642 695 578
528 570 862
443 780 800
759 539 276
488 592 903
560 892 812
898 502 124
941 850 110
212 901 414
547 881 397
755 855 410
115 756 308
360 78 538
625 671 598
494 483 643
473 907 689
9 853 200
62 44 134
271 78 291
809 7 723
615 943 528
299 61 336
797 756 176
157 810 547
544 595 68
371 203 552
496 646 71
409 99 68
366 41 387
594 713 860
675 564 144
938 623 34
295 555 644
340 236 412
685 263 517
486 36 248
289 702 871
888 116 693
5 105 452
389 300 683
899 53 110
110 44 100
847 415 983
571 628 256
958 773 80
252 417 721
345 9 334
59 140 314
677 245 603
253 122 729
170 385 941
633 390 417
87 599 101
703 641 533
727 942 502
890 290 627
858 898 348
503 945 521
257 594 81
257 297 54
899 326 696
408 812 769
732 694 647
485 409 193
733 672 749
267 136 24
52 130 499
71 554 48
796 281 544
742 884 134
546 170 100
237 489 953
904 644 649
648 350 507
964 557 649
626 580 592
207 564 661
690 865 760
931 795 174
586 381 468
811 60 644
218 932 698
531 344 644
841 365 668
432 98 85
314 431 82
399 181 990
144 447 302
886 771 129
232 555 403
617 389 959
849 97 644
787 484 530
141 669 460
183 211 655
442 577 332
232 531 538
578 1 378
309 81 876
812 243 318
801 678 562
579 453 460
178 75 230
318 717 629
348 64 786
161 706 619
230 448 183
604 262 396
380 364 556
757 835 954
8 383 414
729 757 939
523 765 562
74 803 569
78 717 391
140 23 15
282 102 726
454 224 984
705 476 437
709 143 764
658 564 46
701 153 150
596 542 413
95 459 669
532 383 944
610 847 212
654 570 691
495 149 84
64 566 51
122 515 741
661 266 807
100 718 844
952 728 503
352 163 964
165 243 592
394 108 225
927 931 225
960 509 377
53 607 752
259 183 51
408 359 495
208 374 839
733 882 230
779 579 14
304 586 847
402 296 687
175 74 177
123 188 217
371 920 598
473 258 636
328 425 993
737 185 27
432 222 115
248 764 406
44 135 446
916 651 821
39 865 882
534 608 281
774 434 921
365 786 328
12 648 964
206 948 539
871 196 375
918 471 634
292 252 90
718 86 95
862 96 867
406 111 749
818 301 445
632 949 265
721 840 153
655 437 90
397 785 398
582 274 92
551 292 362
392 648 601
678 282 899
182 215 933
557 391 952
612 341 596
114 122 598
738 944 871
725 469 447
24 140 910
540 73 792
352 784 423
348 496 956
88 122 424
387 594 938
21 749 63
31 628 759
855 195 584
408 877 6
372 888 605
223 358 857
416 229 668
653 34 895
5 366 604
610 351 176
594 323 238
136 181 639
134 869 731
647 839 109
514 684 212
864 725 240
512 846 581
115 409 264
232 758 523
483 780 569
444 374 659
741 90 13
630 817 764
302 172 217
856 147 824
642 685 796
950 864 511
589 590 616
453 851 234
35 629 660
552 506 837
476 824 40
281 700 964
141 111 176
786 604 677
951 421 357
143 182 654
960 440 165
448 117 58
417 689 644
206 163 360
536 81 766
92 163 61
728 153 652
416 186 136
397 512 178
605 506 846
617 900 979
457 708 568
152 709 824
152 176 997
76 480 931
465 537 594
600 357 976
3 812 862
190 466 934
415 275 584
398 406 135
472 362 126
546 926 425
483 925 320
604 820 167
66 106 15
686 41 443
894 484 120
205 706 28
29 192 740
296 4 756
318 953 934
960 467 658
308 174 822
478 869 572
797 26 996
248 507 754
958 841 165
707 469 743
289 664 951
539 530 827
162 594 668
741 838 78
702 881 61
957 821 48
142 597 415
347 534 177
924 257 537
435 607 190
884 693 730
283 883 184
377 7 709
403 927 736
895 57 315
830 772 811
680 29 569
274 565 351
423 781 29
20 731 254
364 539 433
640 416 930
583 814 494
