801 2863
138 790 685
620 246 704
721 211 848
32 408 481
729 439 128
351 57 650
25 592 829
512 367 420
505 458 6
143 363 722
75 795 76
320 261 795
398 796 184
356 608 448
624 361 927
723 456 797
195 706 433
656 58 326
496 641 995
212 279 315
196 284 743
603 568 519
68 709 309
146 98 648
201 10 633
93 407 60
450 351 773
729 559 135
303 672 661
207 155 967
721 370 557
467 87 728
455 512 227
464 599 395
642 569 709
740 334 86
497 783 696
568 698 254
499 569 610
335 405 515
62 33 305
539 390 710
138 449 987
167 640 686
778 610 947
457 187 720
656 676 629
647 573 474
480 396 66
326 712 497
609 576 979
58 414 807
199 590 396
170 275 465
493 58 551
333 5 360
406 734 955
695 765 870
514 206 895
380 749 343
741 98 922
372 444 88
773 337 465
333 745 312
518 121 192
747 211 197
520 519 382
565 728 929
230 613 515
594 797 281
666 531 454
661 557 30
687 80 744
341 411 710
386 217 221
10 250 337
732 72 407
626 417 278
467 60 551
711 224 732
24 159 649
657 199 509
530 571 271
173 318 313
533 480 609
455 687 495
28 363 851
406 465 811
425 469 456
575 737 925
393 587 651
382 544 306
88 284 477
558 493 268
274 205 811
48 189 154
343 72 369
752 31 721
270 343 959
151 686 725
17 72 343
459 97 11
679 744 446
152 180 476
103 79 558
485 304 75
209 31 826
451 206 985
490 488 360
554 417 90
755 95 414
412 625 714
329 570 211
627 425 647
653 661 323
746 771 108
758 63 937
228 248 155
303 388 135
161 696 378
783 749 12
101 653 724
226 105 712
276 413 765
436 496 75
292 431 796
484 171 42
569 716 425
313 194 972
542 298 52
659 688 203
719 519 4
590 463 197
721 201 560
694 294 883
504 211 468
80 596 363
796 172 107
716 540 746
594 7 219
362 479 569
302 618 810
630 348 874
318 449 636
689 690 180
793 732 941
722 724 895
607 258 974
42 303 62
264 180 919
500 526 11
358 181 816
134 583 233
782 65 216
116 270 568
788 185 340
759 145 905
21 686 347
222 653 532
504 241 461
358 108 33
685 361 192
274 769 210
433 591 571
29 199 440
588 89 626
183 489 952
428 212 974
71 356 88
517 744 988
532 590 16
796 799 231
246 105 810
312 702 578
643 42 865
104 712 869
291 595 833
110 109 477
65 266 778
348 354 844
286 151 802
128 169 637
535 39 747
479 329 55
215 400 647
62 653 737
87 555 747
548 206 293
799 133 796
743 66 707
220 512 102
111 570 327
552 406 87
739 336 158
797 540 113
633 510 717
367 375 796
384 746 805
772 783 968
720 231 457
680 359 920
757 264 802
246 612 478
326 760 167
200 673 978
559 358 754
269 526 279
538 708 191
799 650 331
489 35 180
175 426 46
208 64 459
623 146 732
10 363 317
492 747 174
432 19 535
796 183 337
392 203 554
491 347 471
286 22 718
686 406 28
57 788 124
246 164 588
300 605 495
17 541 506
386 760 392
97 22 34
454 270 432
719 252 39
413 741 498
556 32 498
732 40 547
382 386 536
177 562 251
703 769 569
324 540 710
110 336 841
584 404 773
165 199 877
67 789 868
664 374 299
44 211 354
361 111 248
567 571 349
265 510 483
543 451 921
441 727 512
125 406 94
703 629 679
468 344 546
616 35 130
212 698 40
549 552 349
536 795 416
418 590 653
685 439 807
527 144 616
347 405 81
554 191 265
279 299 14
76 36 511
768 343 545
623 69 831
665 466 735
629 190 569
193 651 504
757 605 935
391 504 433
624 765 136
452 83 445
337 40 448
654 729 660
369 200 439
29 428 771
428 443 297
549 507 406
347 355 34
240 377 163
92 83 399
672 131 546
531 408 355
255 339 588
695 615 382
363 216 906
180 564 654
272 701 368
509 381 690
479 759 745
408 535 457
413 666 92
612 243 657
418 580 775
672 588 390
513 748 469
534 752 531
172 125 678
409 695 823
97 762 60
118 29 501
71 776 270
428 181 992
379 307 312
487 57 901
663 574 454
634 472 932
668 716 162
145 539 531
270 554 566
181 536 585
496 234 692
312 110 209
396 627 641
740 149 806
130 364 611
515 677 265
258 354 190
558 124 751
41 524 178
362 728 551
592 108 107
236 511 770
56 549 272
6 757 563
42 309 5
307 139 759
338 608 949
189 2 225
35 358 484
412 140 145
263 41 249
78 697 354
581 300 970
147 745 247
746 593 362
329 99 25
625 527 759
693 591 372
501 327 213
377 274 991
591 640 537
374 31 937
418 624 260
776 693 81
319 712 82
449 200 541
752 402 863
521 626 764
361 92 445
210 133 332
409 105 445
129 548 218
309 776 229
476 138 60
163 741 326
430 729 470
628 24 289
235 727 700
740 150 265
288 18 175
608 373 305
251 189 1000
105 712 723
614 159 744
436 673 633
361 496 686
583 278 187
202 728 640
428 619 714
656 226 187
187 645 27
217 503 45
649 191 542
694 252 696
547 92 236
453 733 606
71 109 225
606 11 516
594 342 420
191 77 497
475 419 496
123 277 517
51 75 758
600 640 713
200 104 844
416 148 361
253 218 861
743 6 730
575 366 197
544 20 903
765 504 747
255 362 811
460 417 304
16 394 530
155 36 822
172 701 680
242 694 337
549 484 127
345 787 948
677 473 698
150 101 29
716 128 463
426 521 387
790 200 131
415 217 667
443 287 562
575 520 496
777 695 530
708 781 752
255 586 161
678 278 825
191 538 654
394 284 844
710 14 77
293 294 777
550 421 78
92 352 318
608 578 421
187 56 259
385 150 13
546 461 810
273 19 6
786 675 984
685 608 171
220 464 259
152 496 873
472 200 876
362 530 545
448 225 722
546 516 825
570 441 793
646 361 904
198 642 31
502 86 978
22 757 73
356 540 9
372 540 306
288 344 665
636 323 886
78 103 546
391 229 892
299 131 539
450 673 272
356 60 152
500 185 322
165 54 255
10 731 176
449 680 688
319 718 115
315 371 342
691 330 620
615 535 916
34 667 141
630 306 9
442 283 91
793 291 14
492 462 615
140 474 830
88 183 701
107 750 481
780 228 715
126 101 124
723 101 44
359 470 333
11 774 651
412 333 684
339 713 335
37 130 108
485 463 883
307 638 805
114 266 730
672 368 167
397 218 770
255 277 642
446 109 149
208 1 424
109 328 929
405 377 574
286 433 24
143 407 942
700 12 41
5 316 558
7 277 398
333 616 65
142 38 863
419 465 725
371 722 586
636 249 594
