20
915 968
64 382 135
640 844 106
598 814 127
247 812 -973
874 698 650
48 84 -448
788 564 877
533 225 81
547 890 -400
631 378 -738
915 870 -423
559 355 993
6 579 -406
333 175 -442
758 825 -91
758 14 525
667 357 754
304 682 -855
736 169 -625
225 808 54
715 890 837
748 397 302
655 35 176
486 226 84
609 792 -285
868 552 -381
828 44 242
446 404 297
839 272 -342
48 731 -906
539 651 213
399 656 321
149 597 978
645 170 -713
547 709 -610
585 738 596
27 277 -277
172 875 -76
749 187 -563
102 589 -525
819 336 556
430 638 328
744 601 702
763 102 -63
233 495 -163
886 91 557
77 590 -438
62 86 289
2 653 -91
818 229 -714
39 30 669
787 85 907
554 498 344
694 107 -187
255 73 794
796 895 -143
3 486 -48
71 419 576
528 123 886
848 343 947
75 275 -629
792 320 -795
342 111 995
136 808 707
554 329 149
336 818 -205
165 761 -829
735 99 701
222 22 -267
200 25 129
447 382 376
199 680 596
867 660 -342
627 406 -246
479 462 -602
157 62 -317
604 167 37
835 906 156
667 499 -695
401 251 -538
607 693 833
454 104 317
368 279 -273
750 844 855
511 435 670
298 460 399
497 628 -525
834 773 849
787 419 -333
610 75 -531
212 64 -915
594 1 -463
96 133 433
555 294 89
832 639 360
568 760 994
756 400 -705
11 821 1000
403 101 45
384 803 898
793 509 267
767 286 -381
217 517 215
27 178 -749
575 26 -778
648 869 -997
714 398 490
783 637 -70
160 759 857
417 805 723
19 454 723
600 497 668
194 20 920
290 636 -405
390 4 616
66 844 312
18 456 949
530 79 -481
150 762 803
559 246 910
52 696 530
131 354 440
105 568 -148
646 452 -504
99 366 -911
196 728 747
741 304 453
512 372 -333
902 843 -35
266 655 -765
737 129 571
770 570 890
232 832 -753
549 213 -554
832 200 22
194 153 -557
900 835 -818
538 393 698
310 763 475
17 640 -604
655 772 812
429 23 977
433 437 -961
737 290 -127
200 447 171
318 268 513
298 35 -267
390 274 287
265 87 -148
705 275 -623
150 170 -894
864 789 325
353 196 -632
473 52 -94
52 825 -115
179 568 999
642 863 -943
829 815 672
639 322 -13
349 160 925
107 610 -944
693 238 -272
32 235 407
502 380 -792
540 745 -112
792 737 -391
163 578 804
507 576 -561
54 831 -40
645 391 757
123 363 624
56 300 -236
542 798 -203
336 818 -284
6 172 -121
397 36 -621
767 441 760
59 883 -592
860 569 -514
7 520 44
849 498 -242
618 395 -804
191 438 726
471 387 42
803 370 65
905 622 500
329 661 986
306 44 -473
170 224 408
464 104 893
547 733 425
500 546 165
8 358 98
789 131 738
140 91 -962
684 219 -375
107 149 -374
207 344 766
53 837 -41
219 63 -79
310 532 -760
348 280 545
434 35 597
176 264 -834
502 642 336
530 574 -852
898 544 716
242 1 413
246 40 358
149 194 -828
464 347 -398
396 31 243
823 367 233
540 126 -242
362 607 -256
374 303 -992
225 229 68
564 285 679
17 527 637
340 787 627
567 103 -272
346 201 -348
728 886 -723
712 35 532
725 388 342
761 224 -215
303 377 -760
296 142 670
913 487 -447
699 325 -678
631 396 -435
6 19 108
797 50 129
742 529 -764
241 798 888
338 358 -546
773 610 -663
323 528 852
389 828 41
166 205 -476
828 58 -165
470 909 398
838 679 675
115 417 114
394 479 851
626 909 64
767 75 -193
268 171 42
25 751 -223
604 621 102
719 296 529
387 253 -65
659 876 -63
530 662 26
700 61 -516
278 296 578
111 10 -552
207 745 -496
59 105 -627
595 670 -649
316 674 72
646 237 -854
458 464 982
881 156 -660
445 850 381
87 280 -971
32 811 -915
898 582 -238
238 914 593
342 600 210
399 531 -369
53 424 543
556 272 756
122 567 -44
319 857 664
134 554 -691
426 211 -502
610 603 -591
138 569 -451
224 310 -923
356 608 896
807 46 66
373 25 649
413 19 546
685 486 927
309 157 -995
8 457 347
328 50 -965
129 797 522
113 492 -325
557 535 -590
568 248 131
381 621 865
772 224 -822
132 570 -856
426 838 -466
264 745 -949
772 720 355
881 353 449
107 643 -956
183 713 -807
851 640 638
409 726 -324
616 482 -646
404 892 -302
233 456 936
591 158 781
373 397 -406
726 759 -928
813 61 50
749 405 387
643 151 -131
486 562 -88
860 325 -542
48 595 634
497 779 264
699 381 205
828 903 878
472 65 -157
797 559 -219
381 123 908
195 761 -626
215 71 521
421 845 686
447 7 -641
396 339 183
468 144 -103
522 831 -247
309 494 976
39 783 -194
512 290 111
725 148 -494
200 328 -747
202 712 100
396 684 -326
355 206 242
282 388 -944
43 453 301
900 838 -715
144 89 955
506 68 179
671 760 -251
464 676 -683
439 733 -969
630 189 -181
646 890 988
122 765 -449
107 844 -834
425 394 776
638 546 26
353 770 416
712 97 139
218 708 -500
637 893 42
455 908 665
88 124 -779
888 41 -318
715 129 495
875 620 -855
391 197 572
297 516 724
373 105 618
589 631 -974
435 717 -473
285 334 -710
531 206 -776
352 13 895
391 688 -754
440 333 674
187 313 182
369 383 -119
900 631 433
435 775 611
6 528 -236
405 216 341
334 363 -182
792 659 -437
363 502 -496
68 85 565
352 221 600
415 316 761
596 145 -260
325 482 587
368 295 -344
291 570 807
387 590 -390
530 437 120
106 58 -254
726 612 -568
16 467 -618
246 718 -741
465 544 988
