8690 26233
6219 1554 -776
6935 7496 -842
46 5905 261
4433 2284 -470
5545 3546 644
5868 7952 -216
1773 3383 -936
12 5337 16
8586 2457 -443
7420 7407 722
2677 2521 172
6315 6401 -597
1886 4219 199
7583 8495 -37
8533 338 270
1260 5090 372
99 4803 -196
2883 7556 708
5943 8676 727
2850 3940 -755
3319 4162 -36
2283 6834 -433
1424 3543 -483
5345 3841 -765
4152 4429 -648
4879 4451 -294
1498 8457 138
7593 4297 -254
6030 4571 -136
181 4421 157
7989 4030 -800
4602 4526 872
4009 1928 -153
6016 4294 -359
969 5324 -18
363 7300 -926
2050 7359 467
8380 8308 -282
4414 565 -882
2257 3150 -802
3029 199 756
4491 6576 -200
2968 328 -113
1024 3036 -649
1167 1910 -900
1671 2934 -170
8243 3733 -624
121 3254 -327
6194 4931 238
8005 89 -683
6666 2550 -144
7531 6876 -945
1423 2497 225
92 212 435
2529 45 -516
6059 4090 348
4390 3478 510
1341 1469 -903
3841 8268 -272
7553 3456 -431
7641 7133 367
8326 4682 1
5182 8521 -747
7401 3386 893
7224 1366 -807
1609 8372 973
4846 5743 318
2943 2644 -786
5772 2196 -83
3081 1089 -976
7433 6588 293
2510 5486 -535
3088 5050 905
1088 5853 -556
665 5401 741
3940 3727 -23
3871 4993 -398
3340 5460 762
1481 7085 -51
5883 3025 -800
1558 1859 549
5563 3800 452
4730 4309 -11
7633 2303 239
6344 2831 822
5605 833 28
4403 7383 575
6752 5533 -266
1364 972 -322
6144 8373 162
1255 6556 895
7238 3071 -680
7938 1566 -343
5472 7774 57
797 8660 -581
3592 8451 425
8524 1549 -43
3732 7176 513
3181 6091 -206
2388 4623 -287
5577 6841 -85
4943 5452 -8
3015 2418 554
5202 4243 247
2186 5111 41
2508 5256 93
1057 3301 527
1466 7896 948
7694 7949 -920
3221 4811 -225
5185 1681 265
6988 3439 -774
6266 6613 -759
7924 6751 -841
770 1647 185
5680 3930 685
1361 5990 -871
8448 5404 -828
5880 7407 427
5511 3866 26
7175 1562 469
628 1380 810
7685 7330 312
3448 6874 -314
1486 7143 928
5065 6472 -577
4546 5159 -16
559 8214 61
8282 1502 -591
5537 1722 -832
681 3705 -789
6584 609 44
1075 2152 464
3860 164 -828
6161 6865 -569
6047 5161 -57
7248 5205 -662
6864 2943 905
720 4997 25
1193 2686 198
4714 1479 301
1120 7668 -425
7419 4008 666
389 2642 -756
1165 1755 415
3363 8022 -729
514 2174 -970
2039 534 -241
6769 7597 836
7042 5719 -846
2004 8377 723
656 4428 -989
5723 756 -581
2912 3149 126
8192 7202 -622
8248 794 -786
6486 2516 -776
5417 2770 130
532 2862 892
1164 705 -563
510 4921 -882
1310 7832 -875
1108 6579 -240
2465 5686 -863
7893 5839 -845
2430 3495 183
6152 1126 -465
1950 7632 517
6912 6265 610
5528 4957 -235
7751 6059 -222
5668 5307 -817
1885 1425 -480
3077 3486 -810
7860 4818 975
4718 2583 747
7570 1844 -416
4148 5786 627
2292 3086 -870
5319 6503 64
2061 4357 905
1163 6728 -470
7022 3808 22
3228 3164 243
3388 1006 -352
3088 8604 -884
2479 5652 -554
7327 5090 -378
6814 4205 153
4526 531 -3
194 1931 -732
7277 3076 934
7392 1632 -216
3254 7163 992
7161 1127 -874
5983 5739 782
3261 5579 -888
2093 7415 -231
5681 8570 552
1423 7360 -915
8608 2923 -137
5056 8464 -997
1862 8535 -593
1818 2207 -602
6821 7425 725
8331 1402 -902
7777 4186 31
874 3567 -134
6346 3216 572
2739 7134 203
1723 443 -131
6251 3587 451
4015 2305 241
208 3469 858
5230 2431 -20
4295 849 -939
5897 1371 868
2411 4436 -984
8107 8285 582
3687 1105 -40
4126 7669 -34
521 8619 291
8469 2809 589
1492 181 -434
550 3851 115
5780 1814 683
5160 8686 770
2299 6154 -908
7286 8596 432
7853 318 612
8265 4335 793
800 7639 30
3057 6950 -821
6794 1823 -253
4175 5296 -412
2470 1907 -924
8465 3265 680
7327 1723 -330
5168 4272 969
4222 1454 365
4954 6062 -890
7291 4425 936
1984 5820 -309
3478 1134 133
6390 5722 292
3239 4842 -684
8405 4310 -127
7961 6412 -616
5374 2214 -888
1301 1084 499
7823 4136 -261
2367 2996 -196
3495 7662 898
3767 3340 -121
5106 2336 337
8505 5347 -882
7389 2699 555
3010 5324 87
5874 38 -448
1608 900 -569
2198 4343 -361
7001 5838 -899
8370 2852 294
3057 730 -686
2881 1957 -156
265 8596 -692
6768 1696 -273
1369 3985 427
6322 4987 -334
1431 1016 -762
4245 3650 632
292 398 74
6513 703 -165
2000 5252 -163
4741 1040 69
6283 617 -592
2766 2366 -389
7727 6245 620
7485 4054 146
6858 1531 203
3360 8196 181
4694 6509 -57
4983 3642 254
5866 4005 -883
7905 3857 558
5712 2052 487
6832 5475 245
7922 1851 -670
5553 7610 -829
7194 1145 607
788 5781 727
3110 6436 259
642 2157 -946
6781 3288 894
894 1974 -818
990 6384 -900
8151 4285 621
5212 4611 -843
283 7454 447
7001 2489 426
2172 313 396
543 401 229
2080 5582 469
4264 5328 801
7157 8029 710
2380 8594 -554
1868 6795 -321
6107 3456 767
1203 3179 -218
1596 1398 -865
669 7144 -210
2808 5415 -638
1526 7246 -815
3787 977 848
4608 4194 711
8650 1913 -693
5359 1610 -159
6764 6149 606
3354 7675 507
5134 3474 -752
5979 2173 317
466 2944 667
8037 985 -442
4662 4608 -114
8656 5587 201
3277 6616 -740
8183 2648 -437
981 8073 -860
5260 3834 -86
7042 2232 -500
2482 4319 1000
7644 689 657
1422 243 148
7673 2698 -506
5189 362 573
4235 1950 -398
2079 4283 -250
7895 5045 455
7274 1807 -64
1585 2565 -791
7994 6805 -500
2820 7596 610
8497 1857 -649
1781 8500 -667
2187 4318 424
6247 6674 -457
2213 2003 -52
6107 7501 478
5672 4482 -580
2817 593 544
7851 5071 -923
3781 8616 303
8124 725 -16
806 4617 452
5004 2866 -936
5817 4043 -179
4400 7065 -954
1423 4792 417
2998 1631 10
4052 6657 -847
1015 768 -369
7153 1968 988
4215 1541 -989
1350 5982 -609
6423 3850 658
1559 7994 -707
610 2105 -122
7967 1967 300
6074 7016 -147
66 5656 870
4181 4083 -857
5062 1969 275
571 615 -654
2749 2464 217
7716 270 -795
2864 1061 858
7493 907 -688
1513 2045 -721
6656 3874 729
7350 8268 -752
3213 5355 -802
1704 5320 -596
3227 8002 -899
8127 6892 140
3287 3689 631
4320 7212 807
6157 351 836
6270 7 -120
7108 766 -762
6146 7736 -792
285 3862 -6
1773 3030 81
3561 7365 -718
7678 8364 328
2795 929 40
4138 6658 -354
2025 1700 -668
606 684 283
8179 7595 906
40 2158 179
6311 8325 833
7258 484 -884
5420 7311 41
6189 8427 691
7189 8110 766
2910 4789 -493
6132 8403 -647
573 334 611
2369 4105 144
4471 3869 -506
5470 7692 514
6340 7999 793
1935 7452 -468
4152 1209 422
6195 5196 762
1455 4051 -911
5809 8181 -445
385 3146 -100
1838 1065 75
2422 6175 172
1379 3516 7
4885 879 909
119 2315 -351
6938 7060 -936
4410 824 -968
8247 6401 -383
3886 622 -503
5185 4062 781
7583 4289 -499
8325 1506 -848
4344 7988 -176
445 5055 -894
599 7658 547
5394 6527 -196
4371 8600 -981
7911 1657 -24
4821 1096 -937
3149 1231 664
1192 3716 539
7142 2858 952
7397 7799 227
3054 6623 605
5841 7971 -175
6839 3953 -986
2663 4459 37
8216 4786 907
907 6190 -599
6915 5839 -337
2394 7482 748
5196 1522 648
6475 2249 -59
1327 5549 -802
526 6351 410
1755 2465 -510
765 1869 -405
8122 2457 808
698 93 462
6012 7304 -870
2915 5851 -626
3555 2454 24
1819 5846 -554
987 1686 936
4645 8295 -474
341 1662 132
4388 6122 -719
3941 3101 -225
3844 7640 294
2504 1689 986
4389 7429 326
1341 1721 128
7159 1644 879
7443 7199 333
2197 7852 -551
2619 1085 -591
8426 467 -515
2788 3609 -676
331 7161 -200
7687 3069 481
1409 1881 192
6777 6823 -822
7529 5589 -270
5714 1830 537
1990 8678 606
3121 5978 -318
633 7082 -431
7056 1220 896
8085 1368 -248
4241 184 -336
2681 1867 98
2377 2832 -232
4162 6265 544
6929 7217 833
643 6338 690
513 5113 84
2998 283 -454
6825 4750 83
1484 3745 -927
595 8273 -325
7183 1467 -664
3227 7167 527
4288 3725 21
8043 7555 625
6658 772 140
368 6694 127
1258 1704 -851
8288 1323 56
5423 2142 203
3985 1331 751
2990 5053 -60
5541 7035 890
637 5106 -364
2383 543 -122
2402 4579 -617
4479 6385 170
5630 1501 -487
8319 2042 815
5769 3116 -44
8415 7692 -948
6074 8339 -85
368 143 242
5409 8589 -61
6268 5312 -970
7184 1324 632
2464 3856 -818
853 3103 272
5370 3152 -903
4898 5296 -802
6053 829 -554
2989 4986 -403
3343 2126 10
1618 2127 -879
4090 7049 649
3462 2500 201
7303 2983 390
3604 5588 -76
6637 7732 323
7290 5421 -342
8 6031 617
1479 7463 -451
1048 2260 -519
3205 5751 -274
8121 1010 948
7257 5977 -862
7521 399 -390
4099 814 -295
6627 5123 -544
7280 1353 -765
4416 4231 -191
4059 3065 434
5427 1025 -835
449 2429 -59
2389 6755 -412
6336 5972 -251
3957 8218 -702
8017 8176 -690
7964 4620 653
6346 6447 522
5502 1927 -303
6630 5610 -594
2259 3542 948
2469 1683 500
5189 1222 -840
3059 40 -794
1299 1372 -92
8639 273 -450
7335 8559 -635
3559 644 -428
5880 2391 -165
2516 3471 163
2479 278 -18
1127 2853 591
4967 6751 816
6146 8276 145
2998 8003 -51
4249 3323 -947
6292 1856 530
7256 499 306
7509 2152 672
4350 3271 679
2315 7110 -296
6521 3224 338
4305 6275 -629
855 4044 -749
6340 1327 -580
767 31 -460
1287 4300 -773
1327 8103 794
4096 127 539
6031 5943 387
7255 6665 621
2981 1578 185
5948 3739 -987
6159 381 -182
7899 6752 977
8287 7977 -269
67 1663 877
7558 6852 0
4219 4737 -724
3605 4947 428
3491 5802 -882
8220 6808 -119
6886 8673 427
42 6893 44
4279 961 -913
5297 7365 -218
5753 1364 947
7216 4155 155
2592 6138 669
8538 3133 -517
1889 678 406
642 3900 281
2212 8618 11
6831 4950 -160
1870 2061 -469
2389 3644 16
4403 6664 239
4510 7758 -749
633 158 -733
6022 5420 408
5832 2081 199
6713 4385 494
2373 1248 -602
6163 5265 72
4472 6956 776
4864 4018 572
3612 2978 -546
4713 8535 695
7385 6334 326
7353 3104 -37
3586 8373 426
6577 4143 525
4063 3958 788
8544 2322 637
126 6412 270
5764 7935 823
8433 3699 -489
7253 7910 -866
7549 2148 -826
1704 883 -807
7102 7530 242
4650 7127 106
1451 3538 722
2574 8636 557
7559 1028 -852
6631 4197 -356
972 1887 782
6002 2349 100
5940 6844 883
6144 1932 -842
2831 787 -907
4189 8406 151
7384 318 -397
6023 2757 -597
105 4210 -470
4291 5050 -218
1897 5203 421
4672 7006 -700
7989 3970 -384
5410 1028 -290
8642 6052 -377
5993 7713 455
552 1790 587
7659 1548 205
2692 8397 -880
5192 5715 861
339 8450 505
2566 1544 739
8358 4623 218
1040 3089 877
2240 3669 960
7202 2940 -70
6943 449 -655
4597 2223 -338
4166 1971 230
5215 7248 -338
7055 7205 -583
8206 6460 -727
4897 6239 -54
8141 3454 400
4346 5016 235
6565 4018 -170
7514 8295 -215
6610 578 798
7550 6869 812
7973 1642 804
4594 7420 -772
5647 7103 -672
1738 6428 494
8611 2286 914
198 5785 127
1668 8673 -768
5615 2800 -691
4911 3102 480
3372 4718 110
7883 7348 524
1574 7389 -256
3458 8675 -61
1129 3810 292
8221 62 -923
6414 7667 510
4958 6104 -637
6409 2262 -341
4319 1238 -785
2813 7181 -385
3015 4733 861
3849 634 -988
3715 2560 -383
1239 3808 414
6020 2386 -539
4866 2820 798
2640 731 30
8172 5074 114
4150 5730 771
2021 7706 -609
4096 4344 251
8252 1911 -445
6611 8406 -829
4619 4649 948
6471 4859 -534
6679 4379 -105
6676 2270 -939
5747 8082 929
5896 1567 -293
4351 8356 -758
1685 1897 776
877 2846 -45
1548 4451 789
538 4533 -318
5342 8236 -459
7139 7035 -522
3653 6151 -44
1558 7669 -474
6850 83 885
8280 6893 -500
4523 4798 826
2239 2316 352
4787 384 -523
3994 2731 -28
1371 8521 470
5654 7093 945
81 7217 340
7969 1738 875
869 7988 -384
8106 7826 83
3780 495 -795
1669 5218 -71
8198 7128 -486
2230 6029 879
901 2448 657
1656 2207 -684
8165 331 -774
2765 8627 -467
1171 2244 -294
1404 3432 -740
1726 8417 484
568 3770 541
1644 8441 -385
5871 4791 -954
4375 3376 363
3652 8360 -953
8561 6589 -611
406 1061 -73
2944 8281 295
1504 6057 -427
2892 4928 -331
4655 7815 164
1780 8554 237
5499 2741 -660
2185 1006 729
4261 2744 893
1538 2287 870
6196 3984 930
3511 7011 160
397 2703 -607
233 1168 -994
579 3601 38
5969 134 -979
7315 2482 -560
1672 4524 -956
4876 1541 385
6172 6522 820
8483 5050 -891
3723 795 393
8257 5067 -14
6231 5372 -254
4093 1887 838
1902 1050 -712
1090 5520 383
1946 6162 -190
6193 1385 -402
2538 6552 -559
4542 3140 -507
5665 5566 120
7361 7135 553
807 3204 105
5453 4205 -759
6638 3584 722
1707 4455 220
268 217 -441
5318 3563 571
2859 2900 -203
6525 6689 -566
5434 1991 -375
1522 3339 -468
4278 5964 -662
45 6990 -979
6246 8494 426
4291 4989 -834
5153 7384 35
7265 189 942
8419 1821 -410
7944 4761 -216
153 2031 -283
6125 5318 -9
484 565 780
3899 4855 -301
121 715 273
1928 6545 165
6407 58 -196
3113 6523 -350
5769 995 704
6500 27 955
300 6378 189
7183 5351 -628
4176 4916 156
3532 6295 -103
7292 4725 -391
5778 8054 287
8687 6418 240
6434 188 -372
5388 8611 170
5258 2841 -471
2947 3957 886
7561 6593 238
4209 2105 50
6455 199 529
2276 1242 445
4059 5500 -351
946 2000 101
4581 1638 720
5107 4603 662
7945 6858 532
6661 6461 -14
8085 4588 935
8587 3518 -93
657 5060 -911
961 3950 -940
2189 3611 -492
3960 46 -548
5233 508 601
1173 2918 -232
634 6556 86
7076 5318 634
5157 8163 372
3594 440 339
2540 1485 -491
7839 5994 -102
539 7364 -187
4694 5704 542
4842 59 671
6511 6611 -265
7697 7552 -182
4506 2317 -560
4137 6311 -852
4849 143 932
3210 7171 26
6158 6327 844
5861 2604 -149
8448 4784 18
378 2280 464
5493 845 814
829 6451 855
3738 7092 11
7843 2563 -473
1311 6069 7
6987 3046 1
7661 6806 -159
624 908 370
6842 6174 -305
7909 6797 428
5153 3243 736
3248 2989 6
6214 1284 241
5730 5871 -352
5825 482 23
1788 5460 -168
2610 8545 -843
3379 1823 479
8545 2092 357
8340 6441 378
3645 2731 -989
6395 6985 72
545 6916 -640
6591 5839 -187
1826 7847 706
5023 6361 810
6887 3250 -280
4080 2256 -358
683 8338 -418
832 1956 -226
5907 1065 711
7778 8243 -768
1256 6218 -480
4864 4451 -336
5730 3544 490
5098 8653 474
7081 3939 -913
4375 3062 216
1503 8181 483
4973 1672 163
7410 3990 -689
6070 6392 -280
3825 6199 -89
3710 2090 915
6295 5042 374
5341 5182 -323
3993 8271 -638
6877 2277 693
877 1601 832
496 6157 129
6700 5113 -660
4111 945 -980
3794 4449 311
2498 8570 275
5983 2079 529
5797 8335 -585
7414 4780 -862
4775 2016 -183
621 4888 791
919 7092 -178
206 3636 700
7330 987 -527
2741 4607 228
4802 7370 343
5183 1374 -312
401 7441 238
4966 3591 777
1886 6310 9
930 3861 -59
810 5251 -839
1553 5064 980
7247 3579 -923
1019 6174 -158
3250 1641 -172
714 4356 -536
5821 4597 -184
4504 5033 631
2037 3093 -332
6950 8219 604
3663 5244 296
8145 4325 419
5445 5637 526
3351 6674 695
4917 5054 825
8340 3210 418
8028 406 -888
8409 8460 -832
2052 1285 193
3376 4957 850
376 2564 622
3812 3564 403
7161 8574 -789
3986 6016 711
1197 1405 -546
162 1884 113
1120 4130 62
5474 4562 899
5697 2441 469
8643 3580 839
8572 7099 -122
8465 2490 -738
7802 3722 290
3848 6537 889
377 7168 800
2079 8658 374
4008 2395 966
2560 7901 651
304 1267 668
2742 3581 609
7575 8424 498
8310 6924 -150
2011 2082 748
215 2074 428
1120 1048 -896
4203 5721 -527
7532 3477 -101
7039 5181 -83
4378 524 -177
2059 5609 -133
221 2462 859
6650 4604 969
3662 8534 358
154 2247 250
4600 106 728
1135 2247 681
515 4812 843
1022 3556 123
1236 7438 -472
7882 5786 -883
4571 2265 -158
4688 6168 42
4041 5623 -241
1608 5002 -710
4404 5287 221
115 7501 207
6822 2467 692
3900 302 -441
7034 1731 -583
7145 7758 229
7505 8465 -265
5821 4404 -443
1453 5952 373
2930 569 56
5549 2704 -147
3922 5866 386
5910 8216 -786
5793 3812 -106
4652 2985 -730
8160 8581 -741
2400 2936 394
7868 2464 -351
1742 8505 -793
891 1890 257
1625 6365 845
7690 7995 875
6461 8009 -402
7418 1355 -634
3687 8546 -989
5214 8450 653
5836 5177 314
1049 7106 -11
1077 3938 62
3494 5830 795
591 3715 313
8035 7798 -628
7982 4614 542
2363 1185 125
5456 2503 907
2533 422 888
8111 1138 -933
3893 5927 150
701 3443 -779
7329 1115 819
2863 6718 -538
2264 3902 -571
3617 6786 156
448 6490 602
3221 906 437
2062 7088 751
282 4462 -654
3843 6025 -730
2505 4651 709
5984 4719 -58
8464 4233 -898
3296 2812 -480
6735 6731 -693
6961 7661 -533
2333 3855 741
6998 6189 -730
2058 7576 423
8054 7462 234
4368 4350 -793
3411 5426 666
4408 5961 927
8291 2195 -401
5198 874 -806
2964 5737 590
3534 1786 770
4480 867 97
4159 7247 482
7246 6562 -801
1314 4535 -49
4628 2814 -735
1581 8440 105
1177 4132 141
3194 7895 791
1450 8228 893
3920 1558 -836
8402 2591 370
3450 6090 -766
4687 4171 -130
4016 5664 152
3801 5725 992
2754 8104 124
7863 2933 -89
7862 8136 897
6442 243 -141
4887 1064 -155
1905 5731 868
7423 1750 292
3137 5240 652
2885 5081 -649
6595 3907 672
3188 1470 -223
4096 4859 -950
5707 4826 708
8322 2502 -141
3597 5033 -849
7686 2162 153
6949 6182 -16
4382 7914 -807
316 5184 952
3767 215 -557
6313 6230 -539
4470 772 -981
2258 6632 -422
6041 6513 741
7337 7817 -622
7282 3195 340
774 4338 -192
1048 2205 -215
80 6802 138
487 5944 132
6120 1852 357
955 7429 942
4349 5833 867
4846 1149 -850
6321 8376 -411
3344 5679 506
1977 4494 -426
7359 568 -897
7344 388 651
566 3 -470
7125 1467 -981
3345 1054 67
6688 8158 -227
5435 4266 898
808 4131 389
1073 5172 -315
6369 1540 329
7215 5194 689
790 1222 185
3371 7705 145
6273 8235 204
8280 4684 932
1893 5745 856
6644 7049 -710
6528 5798 352
8465 8248 759
8522 2325 816
7559 2390 172
4091 8417 256
6482 884 -164
934 2444 292
1778 52 -220
2094 959 295
6416 165 761
2330 5666 247
720 4000 -122
4872 6263 20
5801 295 -708
2191 4063 -306
3897 3817 460
5762 8381 -620
5771 2500 801
573 2055 69
2138 7134 848
1150 725 654
1781 149 -793
7452 2204 103
4504 4424 -229
6326 6084 -74
600 1525 -538
5262 7534 139
1265 7710 -749
4221 8008 982
560 4408 878
5405 2972 -600
2958 7490 567
3007 1040 406
7004 7113 429
245 4189 823
648 2541 -913
2654 5669 -821
6457 8311 -606
2363 3319 -880
3188 700 -653
6116 5376 857
1459 2432 193
48 8534 -331
8376 5613 -294
2685 2090 73
3433 4747 563
3824 2420 -679
6758 3300 513
6913 6498 -887
613 7463 721
8313 7165 386
4073 7317 810
3721 6143 -714
1627 3490 959
167 4588 555
147 4467 280
859 8286 -109
4426 4670 -371
5729 1931 233
1493 7881 -556
7363 4942 -551
3107 3709 -633
210 5243 622
1926 1899 -92
7699 5320 932
3728 7554 -70
724 428 135
5806 6747 -416
2066 916 -309
7551 1311 988
6790 2799 695
3839 2940 49
6003 721 607
116 2370 642
5976 6188 -121
6396 7457 282
3469 8398 907
2654 7651 400
1955 4664 863
1591 8087 -74
4841 7812 -85
4106 7703 -582
5467 2583 -238
1163 4620 -188
1667 7072 -530
6953 658 341
4585 4029 700
8591 3101 -728
770 880 -683
3226 8193 -835
3321 5465 87
5151 3998 -928
1042 2308 984
4685 7465 734
4414 4504 -191
5817 1609 -409
3704 1131 -871
6861 2180 750
618 5765 598
3535 8114 168
1333 6428 222
8309 2033 -592
4784 4356 297
8672 4331 908
3095 1570 222
5479 4421 -93
5257 4820 -252
716 242 52
43 7012 166
7000 1934 896
5926 1860 -876
7202 1653 639
1697 7191 655
6429 3160 44
6859 5523 388
6767 2665 404
6875 967 60
605 945 674
3084 4011 150
5517 1501 423
1799 6017 -593
4067 4596 -870
2371 6879 665
3160 5973 -667
885 6637 772
244 7168 -431
2854 1036 -102
2750 6156 -149
4867 6725 -546
2621 5935 479
177 6726 971
3303 2756 -106
2485 8014 -339
5064 6310 22
5538 2951 526
6699 3748 424
6454 7279 -730
2489 6337 -97
6555 1857 -910
5144 2039 949
5903 3390 8
2922 6126 601
721 3771 405
8039 1606 -249
4690 3143 -191
2923 2154 647
5319 7008 -112
6460 5646 -293
6579 6914 -451
4792 2 217
6359 8035 981
6209 2538 939
4433 3610 -198
5552 4898 457
4613 8433 -951
5538 8291 937
4577 1576 711
1706 2674 795
4953 733 -128
3048 5844 384
2799 6425 1
8546 4183 880
7538 1248 386
2474 2599 413
5606 2380 334
6485 2807 -259
6282 3477 205
7535 8061 -405
1571 1500 -967
7084 1119 -783
7053 751 899
8090 3617 -132
7501 4222 -74
2181 1390 -275
7638 6341 641
2058 5788 -977
1303 6390 -687
1691 5200 922
5024 6334 527
960 5573 -561
4019 8404 166
4029 5983 -822
7752 3888 -506
3187 1059 -47
7296 6477 -125
1037 332 903
6447 5783 359
5577 8568 871
1794 8614 -178
6784 2289 -99
2542 6913 -93
1850 1569 -642
6663 3608 -103
1739 1287 -695
8261 3451 -930
2068 1521 -900
400 4611 -699
6417 4564 750
6960 6165 927
7861 1404 733
5600 5997 616
7540 4320 -594
385 5592 841
6867 965 74
3387 8604 593
7530 4235 -269
6690 1379 60
585 1110 195
7893 1864 955
699 953 262
8623 7917 -80
4805 4638 845
5946 3341 -103
8451 201 -655
6475 4373 425
4396 3235 267
1790 6353 -406
2536 2660 840
3605 6066 -541
4751 3252 -403
7478 4322 -969
2046 802 -241
2914 3002 43
2328 3020 -796
4841 7217 380
1804 7283 -134
2823 6907 -363
3293 2528 297
3737 5304 -564
4227 2667 740
5679 4158 -230
6231 2891 355
8282 4755 -909
2930 4935 -83
5873 4185 -500
6705 2538 -533
8469 5917 632
4890 6349 -625
7745 8344 696
2486 1427 -781
4692 5063 -923
7770 1377 866
7722 1686 -626
527 5390 -921
2185 8296 -112
3230 6617 -596
8562 2530 102
1659 6645 -318
1918 6910 -834
7362 4213 -455
3285 1784 83
8499 1801 -513
4807 5312 -415
3979 2907 -698
6152 6208 227
7398 7113 644
2422 7190 159
4237 5717 -317
5541 2429 -305
6916 903 226
6731 6801 324
52 6828 -644
6585 3041 -301
2993 4388 -962
5853 536 -329
6895 3949 -806
4912 8189 -55
7874 8267 58
3982 1792 581
4434 2817 -663
4759 595 632
1971 4104 -108
3454 2040 -774
4384 1668 790
8541 7023 -406
2053 1328 732
5326 2283 382
1836 4560 -999
559 747 772
5264 3536 745
3838 7301 591
7937 2168 211
558 2415 -89
7978 7394 643
3355 4357 -724
3119 4142 -304
3171 1880 -288
7417 928 857
4554 2650 -295
5303 5715 244
5867 7634 751
539 2469 -653
378 4625 -789
846 5079 778
584 5113 -636
6866 6966 -188
997 6591 -861
6419 2259 -470
7719 1939 -860
205 4186 -799
7448 438 588
5464 7637 -543
8205 163 -991
4944 8601 822
3077 2788 607
8498 2783 -78
2902 2479 -670
7972 7536 -479
7918 4863 770
1559 4082 -110
75 1169 -977
1288 4596 -125
532 3724 -766
4588 8357 217
5121 7206 682
6331 6732 -752
4980 6411 990
3779 1433 -963
6693 5689 -923
2156 1112 -555
6643 2094 295
7420 5057 -741
6054 4821 385
752 190 -801
5819 2469 389
3978 5018 112
2811 148 -860
5989 3196 396
6250 7151 -635
388 1152 -111
412 4237 -871
7494 1759 -719
1225 5179 856
6932 2080 -997
3727 2273 -910
3730 8084 -184
2976 2229 -88
7998 5067 403
1979 3921 893
